NDB_No,protein,fat,carbon
~19703~,0.6241534988713319,0.0,0.3758465011286682
~19704~,0.6241534988713319,0.0,0.3758465011286682
~19705~,0.0,0.047109207708779445,0.9528907922912205
~19706~,0.0,0.05353319057815845,0.9464668094218416
~19708~,0.0010881392818280742,0.01632208922742111,0.9825897714907509
~19709~,0.0010582010582010583,0.0010582010582010583,0.9978835978835978
~19710~,0.003198294243070362,0.011727078891257995,0.9850746268656716
~19719~,0.010719754977029095,0.0030627871362940273,0.9862174578866768
~19720~,0.0,0.001434720229555237,0.9985652797704448
~19856~,0.0,0.012048192771084338,0.9879518072289157
~19858~,0.10396091069757771,0.18640191288075683,0.7096371764216656
~19860~,0.18621148304145424,0.26280203945909997,0.5509864774994458
~19866~,0.02697337692666978,0.11116300794021484,0.8618636151331154
~19867~,0.12970469021424438,0.0,0.8702953097857556
~19868~,0.0,0.0,1.0
~19871~,0.1280977312390925,0.06527050610820245,0.8066317626527051
~19873~,0.0,0.0,1.0
~19874~,0.11886376172090457,0.05184776613348042,0.8292884721456151
~19875~,0.13936078318456663,0.13216239562338034,0.7284768211920529
~19876~,0.13238121395221095,0.15270530074155453,0.7149134853062347
~19877~,0.09164121077478476,0.061094140516523184,0.847264648708692
~19878~,0.13361823361823366,0.12393162393162394,0.7424501424501425
~19879~,0.11675379636544686,0.17649987552900173,0.7067463281055514
~19880~,0.1121101432986794,0.28940713683618996,0.5984827198651306
~19881~,0.1393188854489164,0.21826625386996906,0.6424148606811146
~19882~,0.11572327044025156,0.19496855345911948,0.6893081761006289
~19883~,0.1013203214695752,0.16303099885189437,0.7356486796785304
~19884~,0.1171455636248816,0.19766340385222608,0.6851910325228924
~19886~,0.07643431134367408,0.07662119230050457,0.8469444963558214
~19887~,0.07428571428571429,0.11142857142857142,0.8142857142857143
~19890~,0.11770031688546854,0.29425079221367134,0.5880488909008601
~19891~,0.21478463329452852,0.03550640279394645,0.7497089639115251
~19892~,0.08753993610223644,0.1488817891373802,0.7635782747603834
~19893~,0.12541410317084714,0.1722669190724089,0.702318977756744
~19894~,0.10733995584988962,0.059878587196467985,0.8327814569536424
~19895~,0.10257896261953056,0.16806722689075626,0.729353810489713
~19896~,0.09298209079550188,0.24167013744273222,0.665347771761766
~19897~,0.09824380165289257,0.3829545454545455,0.518801652892562
~19898~,0.0832020997375328,0.3333333333333333,0.5834645669291338
~19899~,0.08775981524249422,0.2933025404157044,0.6189376443418014
~19902~,0.05013870338025274,0.32138086920784953,0.6284804274118976
~19903~,0.0631905007743934,0.3955601445534332,0.5412493546721735
~19904~,0.08087624584717609,0.44258720930232565,0.47653654485049834
~19905~,0.052333950236479534,0.33107135513057784,0.6165946946329426
~19906~,0.0,0.0,1.0
~19907~,0.0,0.0,1.0
~19908~,0.0,0.0,1.0
~19909~,0.023724519175400208,0.0,0.9762754808245998
~19910~,0.09885892116182571,0.325103734439834,0.5760373443983402
~19911~,0.0,0.0,1.0
~19912~,0.001170198933818749,0.005850994669093746,0.9929788063970875
~19913~,0.07137506688068486,0.19614767255216692,0.7324772605671482
~19914~,0.06513565694543239,0.2931612640991769,0.6417030789553907
~19916~,0.15026178010471203,0.10628272251308898,0.7434554973821988
~19917~,0.05379814934366258,0.16139444803098774,0.7848074026253496
~19918~,0.0,0.0,1.0
~19919~,0.0009085746734809768,0.0,0.9990914253265191
~19920~,0.0,0.0,1.0
~19921~,0.0,0.0,1.0
~19922~,0.024868651488616465,0.3228254524226503,0.6523058960887332
~19923~,0.1471747700394218,0.2737625930792817,0.5790626368812967
~19924~,0.0,0.0,1.0
~42040~,0.0,0.0,1.0
~42063~,0.0,0.0,1.0
~42074~,0.15019948368927483,0.2370335601971368,0.6127669561135883
~42131~,0.09999999999999999,0.023255813953488372,0.8767441860465117
~42148~,0.10542700010376672,0.30424405935457094,0.5903289405416623
~42183~,0.07556935817805384,0.3447204968944099,0.5797101449275363
~42185~,0.17670682730923698,0.032128514056224904,0.7911646586345382
~42186~,0.10638297872340424,0.1276595744680851,0.7659574468085106
~42187~,0.10638297872340424,0.1276595744680851,0.7659574468085106
~42196~,0.034812880765883375,0.1903829416884247,0.7748041775456919
~42227~,0.07860945818979018,0.28980060549117864,0.6315899363190313
~42281~,0.055825242718446605,0.0060679611650485445,0.9381067961165049
~43026~,0.06254886630179828,0.0,0.9374511336982017
~43027~,0.01824212271973466,0.0,0.9817578772802653
~43028~,0.0055534987041836355,0.0055534987041836355,0.9888930025916327
~43031~,0.1042009432927498,0.2303389272787101,0.66546012942854
~43046~,0.03419242221994045,0.017147551083273437,0.9486600266967861
~43057~,0.0,0.0022650056625141564,0.9977349943374858
~43058~,0.0,0.0,1.0
~43059~,0.1327405185343904,0.4635740304263981,0.40368545103921144
~43060~,0.0,0.004201680672268907,0.995798319327731
~43098~,0.0632716049382716,0.012345679012345678,0.9243827160493827
~43158~,0.010438645197112715,0.0,0.9895613548028873
~43216~,0.0,0.0,1.0
~43269~,0.10766149223835754,0.15022533800701052,0.742113169754632
~43344~,0.0,0.002652519893899204,0.9973474801061007
~43346~,0.021123785382340513,0.0,0.9788762146176595
~43450~,0.052357965094689936,0.052357965094689936,0.8952840698106201
~43506~,0.07927927927927929,0.36396396396396397,0.5567567567567567
~43514~,0.0,0.0,1.0
~43541~,0.1137897782063645,0.40935390549662487,0.4768563162970106
~44018~,0.0,0.0,1.0
~44061~,0.06169965075669382,0.027939464493597202,0.9103608847497089
~44110~,0.006461339651087659,0.0006461339651087658,0.9928925263838037
~44158~,0.009113136252500554,0.004445432318292954,0.9864414314292065
~44258~,0.1152,0.03428571428571429,0.8505142857142858
~44259~,0.018235696375655343,0.001139731023478459,0.9806245726008662
~44260~,0.0093782563390066,0.010420284821118446,0.980201458839875
~90480~,0.0,0.0,1.0
