NDB_No,protein,fat,carbon
~15186~,0.8883038736367056,0.11169612636329448,0.0
~15187~,0.8363887928052577,0.16361120719474231,0.0
~15188~,0.8837480559875583,0.1162519440124417,0.0
~15189~,0.8252489559910055,0.17475104400899455,0.0
~15190~,0.9596899224806202,0.040310077519379844,0.0
~15191~,0.6830095590502621,0.3169904409497379,0.0
~15192~,0.9739989599583984,0.026001040041601663,0.0
~15193~,0.9651208878319462,0.0348791121680539,0.0
~15194~,0.9634443541835906,0.03655564581640943,0.0
~15195~,0.780631725095453,0.21936827490454705,0.0
~15196~,0.5094026548672568,0.4905973451327434,0.0
~15197~,0.5414948453608248,0.4585051546391753,0.0
~15198~,0.9674215335717123,0.03257846642828764,0.0
~15199~,0.9433333333333334,0.05666666666666667,0.0
~15200~,0.9103641456582633,0.0896358543417367,0.0
~15201~,0.7177126917712692,0.28228730822873077,0.0
~15202~,0.7530758226037195,0.2469241773962804,0.0
~15203~,0.9049244271087274,0.09507557289127255,0.0
~15204~,0.9402298850574713,0.05977011494252874,0.0
~15205~,0.9518716577540106,0.048128342245989296,0.0
~15206~,0.948,0.052,0.0
~15207~,0.7381996388960537,0.2122775341759092,0.04952282692803714
~15208~,0.4669926650366748,0.5330073349633252,0.0
~15209~,0.7578194816800715,0.24218051831992854,0.0
~15210~,0.6578005115089514,0.3421994884910486,0.0
~15211~,0.8424143556280588,0.15758564437194128,0.0
~15212~,0.8231748158070997,0.17682518419290022,0.0
~15213~,0.8736918080115482,0.1263081919884518,0.0
~15214~,0.822537370640092,0.177462629359908,0.0
~15215~,0.5515752032520326,0.4484247967479674,0.0
~15216~,0.7907364211929356,0.2092635788070643,0.0
~15217~,0.8785772690106296,0.12142273098937043,0.0
~15218~,0.9650756693830036,0.034924330616996506,0.0
~15219~,0.7586894586894586,0.24131054131054133,0.0
~15220~,0.956271186440678,0.04372881355932204,0.0
~15221~,0.980161398789509,0.01983860121049092,0.0
~15222~,0.8448275862068965,0.15517241379310345,0.0
~15223~,0.7651657285803628,0.23483427141963728,0.0
~15224~,0.88,0.12,0.0
~15225~,0.8153338829348723,0.18466611706512778,0.0
~15226~,0.9106487148102816,0.05059159526723787,0.03875968992248062
~15227~,0.9401506143479984,0.05984938565200158,0.0
~15228~,0.8392119478868764,0.06164601207499205,0.09914204003813155
~15229~,0.9144144144144144,0.039414414414414414,0.04617117117117117
~15230~,0.8214876033057852,0.05730027548209367,0.12121212121212123
~15231~,0.5658682634730539,0.1377245508982036,0.2964071856287425
~15232~,0.961767204757859,0.038232795242141036,0.0
~15233~,0.8663227016885553,0.13367729831144465,0.0
~15234~,0.7194142654700046,0.28058573452999525,0.0
~15235~,0.7194693718298868,0.28053062817011315,0.0
~15236~,0.6034278959810875,0.39657210401891246,0.0
~15237~,0.6415094339622641,0.3584905660377358,0.0
~15238~,0.7349689011748446,0.2650310988251555,0.0
~15239~,0.7470027666769136,0.2529972333230864,0.0
~15240~,0.7633996937212864,0.23660030627871362,0.0
~15241~,0.7633098139833226,0.23669018601667735,0.0
~15242~,0.938685208596713,0.061314791403286974,0.0
~15243~,0.9309245483528161,0.06907545164718384,0.0
~15244~,0.5631746031746031,0.16825396825396824,0.26857142857142857
~15245~,0.42439024390243896,0.12601626016260162,0.44959349593495934
~15246~,0.42682926829268286,0.1292682926829268,0.4439024390243902
~15247~,0.8450450450450451,0.15495495495495495,0.0
~15250~,0.9006849315068494,0.0410958904109589,0.05821917808219178
~15251~,0.33072713057075837,0.30544696377378155,0.36382590565545997
~15252~,0.34948905109489053,0.30452554744525545,0.345985401459854
~15253~,0.7420863309352519,0.2579136690647482,0.0
~15260~,0.8214793741109531,0.1785206258890469,0.0
~15261~,0.9219467401285584,0.0780532598714417,0.0
~15262~,0.9079861111111112,0.0920138888888889,0.0
~15264~,0.8177018633540373,0.18229813664596276,0.0
~15265~,0.8539715574054804,0.14602844259451958,0.0
~15266~,0.9544191217342968,0.04558087826570316,0.0
~15267~,0.9514943655071044,0.04850563449289564,0.0
~15269~,0.9879051765844219,0.012094823415578132,0.0
~15270~,0.975254730713246,0.024745269286754,0.0
~15271~,0.9803761242845462,0.01144726083401472,0.008176614881439084
~15274~,0.8860601001669449,0.11393989983305508,0.0
~43497~,0.7971014492753623,0.20289855072463767,0.0
~80200~,0.9820359281437125,0.017964071856287425,0.0
~83110~,0.4243119266055046,0.5756880733944955,0.0
~90240~,0.7667039940276222,0.03135498320268757,0.2019410227696902
~90560~,0.8256410256410257,0.07179487179487179,0.10256410256410256
~93600~,0.9753694581280788,0.02463054187192118,0.0
